id,state,abbr,sales,salesMoe,age,ageMoe,volume,volumeMoe,d_high,d_highLow,d_highHigh,d_low,d_lowLow,d_lowHigh,d_close,d_closeLow,d_closeHigh
1,Long Beach (Hudson),LA,31.09821429,0.5,0.033517857,0.5,3.186607143,0.5,29.03571429,29.03571429,29.03571429,31.25892857,31.25892857,31.25892857,3.767857143,3.767857143,3.767857143
2,LAX Hastings,LA,25.15522388,0.5,0.040701493,0.5,1.305970149,0.5,23.29104478,23.29104478,23.29104478,38.68656716,38.68656716,38.68656716,1.059701493,1.059701493,1.059701493
3,Los Angeles-North Main Street,LA,33.45858586,0.5,0.041754209,0.5,0.760942761,0.5,31.12121212,31.12121212,31.12121212,42.29292929,42.29292929,42.29292929,0.35016835,0.35016835,0.35016835
4,Cheyenne Ncore,WY,11.67146226,0.5,0.043524764,0.5,0.630778302,0.5,10.59198113,10.59198113,10.59198113,41.30660377,41.30660377,41.30660377,0.341981132,0.341981132,0.341981132
5,Millbrook School,NC,12.36382829,0.5,0.037933849,0.5,0.378184377,0.5,11.28993666,11.28993666,11.28993666,35.87051372,35.87051372,35.87051372,0.123856439,0.123856439,0.123856439
6,Seattle-10th & Weller,WA,7.712802768,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0
7,SEATTLE - BEACON HILL,WA,8.591666667,0.5,0,0.5,0.4201,0.5,5.953488372,5.953488372,5.953488372,25.48666667,25.48666667,25.48666667,18.192,18.192,18.192
8,NORTH BEND - NORTH BEND WAY,WA,0,0.5,0,0.5,0.031870504,0.5,0,0,0,0,0,0,29.66906475,29.66906475,29.66906475
9,MT RAINIER - JACKSON VISITIORS CENTER,WA,0,0.5,0,0.5,0.039767372,0.5,0,0,0,0,0,0,37.02719033,37.02719033,37.02719033
10,ENUMCLAW - MUD MTN (Army Corp of Engineers site),WA,0,0.5,0,0.5,0.034562044,0.5,0,0,0,0,0,0,32.7080292,32.7080292,32.7080292
11,Newark Firehouse,NJ,27.7859116,0.5,0.033455801,0.5,0.033455801,0.5,25.82320442,25.82320442,25.82320442,0.033455801,0.033455801,0.033455801,0.154696133,0.154696133,0.154696133
12,Babylon,NY,0,0.5,0.038014006,0.5,0,0.5,0,0,0,36.93557423,36.93557423,36.93557423,0,0,0
13,Bayonne,NJ,27.98149171,0.5,0.032707182,0.5,0.720165746,0.5,25.96961326,25.96961326,25.96961326,30.79834254,30.79834254,30.79834254,0.245856354,0.245856354,0.245856354
14,CCNY,NY,0,0.5,0.033027624,0.5,0.355955679,0.5,0,0,0,31.73480663,31.73480663,31.73480663,0,0,0
15,Chester,NJ,6.793922652,0.5,0.037280556,0.5,0.705263158,0.5,6.104972376,6.104972376,6.104972376,34.83333333,34.83333333,34.83333333,0.329639889,0.329639889,0.329639889
16,Colliers Mills,NJ,0,0.5,0.038407143,0.5,0,0.5,0,0,0,0,0,0,0,0,0
17,EISENHOWER PARK,NY,0,0.5,0,0.5,1.30359116,0.5,0,0,0,0,0,0,1.223756906,1.223756906,1.223756906
18,Elizabeth,NC,0,0.5,0,0.5,1.053038674,0.5,0,0,0,0,0,0,0.70441989,0.70441989,0.70441989
19,Elizabeth Lab,NC,31.17402235,0.5,0,0.5,1.347323944,0.5,29.01117318,29.01117318,29.01117318,0,0,0,1.067605634,1.067605634,1.067605634
20,Flemington,NJ,0,0.5,0.035928177,0.5,0,0.5,0,0,0,0,33.53314917,33.53314917,33.53314917,0,0
21,Fort Lee Near Road,NJ,27.33721591,0.5,0,0.5,0,0.5,25.375,25.375,25.375,0,0,0,0,0,0
22,FRESHKILLS WEST,NY,0,0.5,0.037848249,0.5,0,0.5,0,0,0,35.76264591,35.76264591,35.76264591,0,0,0
23,HOLTSVILLE,NY,0,0.5,0.037124294,0.5,0.252325581,0.5,0,0,0,35.51694915,35.51694915,35.51694915,0.087209302,0.087209302,0.087209302
24,IS 52,NY,27.33138889,0.5,0.033091922,0.5,0.956353591,0.5,25.38055556,25.38055556,25.38055556,31.43454039,31.43454039,31.43454039,0.591160221,0.591160221,0.591160221
25,Jersey City,NJ,28.68642384,0.5,0,0.5,2.883261803,0.5,26.67549669,26.67549669,26.67549669,0,0,0,3.463519313,3.463519313,3.463519313
26,Leonia,NJ,0,0.5,0.038528517,0.5,0,0.5,0,0,0,37.17110266,37.17110266,37.17110266,0,0,0
27,Millbrook,NC,0,0.5,0.036441989,0.5,0.23434903,0.5,0,0,0,33.95303867,33.95303867,33.95303867,0.019390582,0.019390582,0.019390582
28,Monmouth University,NJ,0,0.5,0.039400826,0.5,0,0.5,0,0,0,37.23140496,37.23140496,37.23140496,0,0,0
29,MT NINHAM,NY,0,0.5,0.035735632,0.5,0.245868946,0.5,0,0,0,33.18390805,33.18390805,33.18390805,0.017094017,0.017094017,0.017094017
30,PFIZER LAB SITE,NY,23.35248619,0.5,0.034936464,0.5,0.899438202,0.5,21.59116022,21.59116022,21.59116022,33.55248619,33.55248619,33.55248619,0.519662921,0.519662921,0.519662921
31,QUEENS COLLEGE 2,NY,24.75264624,0.5,0.036782235,0.5,1.112820513,0.5,22.93593315,22.93593315,22.93593315,35.9226361,35.9226361,35.9226361,0.914529915,0.914529915,0.914529915
32,Queens College Near Road,NY,27.66426513,0.5,0,0.5,0,0.5,25.65994236,25.65994236,25.65994236,0,0,0,0,0,0
33,Ramapo,NY,0,0.5,0.038888889,0.5,0,0.5,0,0,0,36.54022989,36.54022989,36.54022989,0,0,0
34,RIVERHEAD,NY,0,0.5,0.041532258,0.5,0,0.5,0,0,0,40.00806452,40.00806452,40.00806452,0,0,0
35,Rockland County,NY,0,0.5,0.034783934,0.5,0,0.5,0,0,0,32.62049861,32.62049861,32.62049861,0,0,0
36,Rutgers University,NY,16.61850829,0.5,0.036387464,0.5,0,0.5,15.26519337,15.26519337,15.26519337,34.47293447,34.47293447,34.47293447,0,0,0
37,VALLEY CENTRAL HIGH SCHOOL,NY,0,0.5,0.035243697,0.5,0,0.5,0,0,0,32.83753501,32.83753501,32.83753501,0,0,0
38,WHITE PLAINS,NY,0,0.5,0.036897507,0.5,0,0.5,0,0,0,35.35457064,35.35457064,35.35457064,0,0,0
