id,state,abbr,sales,salesMoe,age,ageMoe,volume,volumeMoe,d_high,d_highLow,d_highHigh,d_low,d_lowLow,d_lowHigh,d_close,d_closeLow,d_closeHigh,-0.385218228
1,First Solar,FSLR,19.3,0.5,38.6,0.2,42830,598,13.9,12.7,15.1,33.5,32.1,35,21.1,19.8,22.5,
2,Xcel Energy,XEL,11.2,0.9,33.3,0.3,71583,1784,15,13.3,16.6,29.7,27.8,31.6,19.9,18.2,21.6,
4,Starbucks,SBUX,18.2,0.4,36.9,0.1,50068,483,14.4,13.3,15.6,28.9,27.7,30.2,16.5,15.4,17.6,
5,Amazon,AMZN,18.9,0.5,37.8,0.2,41262,653,16.3,14.4,18.2,35.9,33.8,38,24.7,22.7,26.7,
6,PepsiCo,PEP,16.4,0.2,36,0.1,61933,238,14.8,13.8,15.8,24.7,23.5,25.9,12.9,11.9,13.8,
8,Costco Wholesale,COST,12,0.4,36.3,0.1,61303,487,12.8,11.9,13.6,21.3,20.4,22.2,15.7,14.8,16.6,
9,Vertex Pharmaceuticals,VRTX,10.8,0.5,40.5,0.2,70048,828,8.7,7.6,9.7,26.3,24.8,27.7,15.4,14.2,16.7,
10,Intuitive Surgical,ISRG,12.5,0.9,39.6,0.3,59716,1674,8.7,7.4,9.9,30.7,28.6,32.7,19.9,17.9,21.8,
11,Novavax,NVAX,17.7,1.2,33.8,0.2,71648,1996,8.3,6.3,10.3,21.7,19.5,23.9,16.4,14.2,18.6,
12,Moderna ,MRNA,16.5,0.3,41.6,0.1,47463,329,17.6,16.4,18.8,26.2,25,27.5,17.7,16.5,18.8,
13,Astrazeneca ,AZN,18.3,0.4,36.1,0.1,49321,543,20.9,19.3,22.5,30.5,28.9,32.1,17.4,15.9,18.8,
15,Google,GOOGL,11.4,0.8,38.1,0.2,69592,1456,8.1,7.1,9,22.1,20.7,23.5,14.1,13,15.3,
16,Microsoft,MSFT,14.8,0.7,35.9,0.2,47861,1275,16.5,15,18.1,28.9,27.1,30.8,15.9,14.4,17.4,
17,Facebook,FB,14.4,0.3,37.5,0.2,57444,429,11.9,10.5,13.3,29.3,27.6,31.1,16.5,15.1,18,
18,Cisco,CSCO,15.2,0.4,37.4,0.2,49446,487,14.8,13.8,15.8,32.7,31.5,33.9,22.9,21.8,24.1,
19,Qualcomm,QCOM,12.2,0.5,38.2,0.1,53712,761,7.7,6.8,8.6,30.9,29.6,32.3,18.5,17.3,19.7,
